id	Text
122	Been off of it for eight months, now bigger, have high BP and pre-diabetes because of the weight gain.
123	Before I got any fatter, I stopped taking it and my metabolism is MESSED UP.
124	I eat so much less than I used to, and still can't seem to lose the weight I gained while on Lexapro.
125	I'd rather be normal sized and anxious than overweight, taking BP meds and insulin medication!
126	Lack of care for anything important in my life.
127	Lack of feeling for anything, just lived day by day.
128	Inability to Ejaculate during sex.
129	Compared to previous medication I was taking, Lexapro did in fact take away my physical pain I was suffering, but has caused so much more in emotional pain.
130	"Nausea (for about 1 week), headaches, brain ""zaps"" occasionally, extreme sleepiness, vivid dreams, loss of sex drive."
131	Went to 20mg after some really tough life circumstances, Side-effects were unmanageable!
132	Possible loss of libido.
133	At that dosage I was so tired and irritable.
134	I do not think Lexapro gave me any seriously adverse side effects.
135	"nausea, dizziness, spaciness, lack of coordination, massive headache in morning that lasts all day, feeling generally ""hungover"", lack of energy/motivation, dry mouth, jaw clenching, Dr. prescribed this to ""give me a better outlook, engergy, and be able to face the day"" because of depression related to death of parents/divorce/job cut/ and resulting overwhelming responsibilities related to those factors."
136	Took Fri afternoon, nauseous and dizzy immediately, spaced out, went to bed for 2 hrs, got up, couldn't even make dinner, stumbling/spacey.
137	Next day worthless and in a fog, bad headache.
138	Woke up with massive headache, felt like hit by truck, hungover-like.
139	Got nothing done all day.
140	Called in sick.
141	Headache still and completely useless, Coffee & tylenol so far- not helping much.
142	Still in fog as I type this.
143	I have been losing handfuls of hair every time I brush, wash or run my fingers through it.
144	I've become more depressed about this and cry every day.
145	I am also so fatigued that I am sleeping several times during the day, as well as 8-9 hours at night.
146	Wow this stuff is strong, i took the first 10mg today, and can't focus, i'm totally apathetic.
147	i hate feeling out of control, detached.
148	I would rather be depressed than totally anihilated !
149	No sex drive, dull mood.
150	Generally felt pretty dull and had no sex drive whatsoever.
151	I drank a lot while on this drug and it made me act kinda crazy.
152	I know your not suppose to drink when on these meds, but I honestly feel the dull boring mood this drug created for me drove me to.
153	weight gain, 
154	Dry mouth in the beginning, decreased sex drive, Didn't do a thing for me, even at the highest dose.
155	Stomach is in knots, tension in the front part of my head, shakiness, blurred vision.
156	I took 10mg for the first time last night before bed and I could barely sleep.
157	I don't even know if I did sleep!
158	My back hurt so bad in the middle of the night I had to take an Ibuprofen, Now I'm at work and I'm shaking so bad and my stomach is so tight!
159	I can't seem to focus, my eyes are blurred and sensitive to the light.
160	"LOST MY MIND COMPLETELY, FUNCTIONING AT 28% CONSCIOUSNESS, I ALMOST JUMPED OUT OF A WINDOW, BUT I TOLD MYSELF: ""THIS IS NOT ME."
161	AND CALLED 911)  I started on 10 and I felt very depressed still, actually worse, panicky and extremely anxious, then the pdoc doubled my dose to 20!
162	"then I lost it, The hospital told my husband I was functioning at 28% consciousness, I wrote all over my body, talked to the walls, cried HARD, and screamed ""dont touch me!"""
164	Problems with memory.
165	Inability to focus/concentrate, 
166	nausea, headache.
167	i know it's only my 2nd day, but I am nauseated, and have had a headache since 30 minutes after taking the 1st pill.
168	jaw clenching at night, teeth grinding, nausea, constipation, food cravings, weight gain, total loss of sex drive, inability to O, insomnia, loss of taste.
169	I can not see that this drug has helped much and I am not willing to continue given the side effects I am experiencing.
170	I've always had somewhat of a sweet tooth, but now I crave peanut butter cups with a vengance- it is the only thing that still tastes good to me, But, I am also eating like crazy.
171	If I let myself get hungry, then I get nauseated.
172	I have gained 10 lbs in 1 month, and am terrified it will continue.
173	dry mouth, shaky, gas and bloating, upper back ache especially at night, clammy feeling, headache, nervousness.
174	sleeplessness, vivid dreams, hallucinations, tiredness, muscle aches, fluctuating blood pressure, zoned out, Don't take it.
175	Lethargic, body aches, migranes, Dr. prescribed 20mg daily.
176	I could not function.
177	My mind was in a fog.
178	I didn't care about anything.
179	The headaches were unbearable.
180	I have a problem with insomnia anyway so I haven't made a decision to start taking it in the morning yet.
181	I've taken all the other anti-depressants over many years and couldn't stand the side effects.
182	Extreme fatigue, difficulty waking up, emotional numbness/detachment, inability to concentrate, forgetfulness, lack of interest in ANYTHING except sleep, inability to reach orgasm with a partner, weakness, excessive urination, dizziness.
183	It certainly erased the anxiety, but I hardly feel human anymore.
184	Nothing moves or excites me.
185	I'm now in the last stage of withdrawal, and I'm still experiencing the fatigue and dizziness and sexual apathy.
186	Extremely hard to climax during sex, Severe Depression.
187	I would just stay around and do nothing all day.
188	However when I did go out I was too numb to the world to have any panic attacks or jitters.
189	At one point I wanted to kill myself.
190	Fatigue .
191	I was tired, and felt extra exhausted all the time.
192	After experiencing those fatigue symptoms and not being able to do, well, anything, I was moved back down to 5 mg which only helped temporarily.
193	nausea, diarrhea, sweating, head in the clouds, stoned feeling.
194	I took it before I went to bed, Days 1 & 2 were good- felt relaxed; Day 3 I was spacey, stoned; Day 4 I got severely sick: woke up at 3am sweating, diarrhea, heart racing, mind was racing (almost psychotic thoughts), had a panic attack because I was so scared, almost went to emergency room because I could not relax for 4 hours straight!
195	increased anxiety, more panic attacks, uncontrollably bursting into tears.
196	i started at 5 mgs, felt like i was on speed for the first few days.
197	2 weeks later the anxiety had increased into panic, the Dr. had me skip a day then start back at 2.5 mgs daily.
198	that was ok for about 3 days then i started having constant panic/anxiety, as well as crying a lot at innappropriate times.
199	i stopped taking the lexapro, the anxiety has lightened a little bit, but the crying hasn't.
200	Headaches, nauseau, dizziness, always on a bad high, inability to concentrate.
201	Bad diarrhea and abdominal pains.
202	The desire to just sleep my life away, but not suicidal.
203	Anxiety got worse.
204	Constant bad headaches and nauseau.
205	But I do have the inability to eat or care about food.
206	Too nauseaus to eat anything but a few crackers or some bread.
207	The nausea is pretty bad normally, so I may try something else.
208	I had more anxiety attacks, acting out on loved ones.
209	Very hard to take a deep breath like someone is squeezing my lungs.
210	Constipation .
211	painful, extreme, and constant Weight gain .
213	hard to resist eating even while getting fatter.
214	All that changed was that I got fat and unable to poop, neither a known depression cure.
215	It left me just as sad, only bigger and full of poop.
216	Gained 65lbs while on 20mg, and about 30lbs while on 10mg, Since i've been off it, i've lost 13lbs so far (only been 3 weeks).
217	Sex drive non-existant, headaches, facial muscle tension.
218	if I take 20mg, then I feel zombie-like.
219	At first my anxiety increased for the first week or so, but 0.25mg Xanax controlled that.
220	Sleepless nights also with vivid dreams in the first week as well.
221	Now in week two, just general tiredness through out the day[eventhough I switched from taking it in the am to in the pm before bed, which did help a bit with tiredness], decrease in hunger, and low to no sex-drive
222	brain fog memory loss.
223	finally attributing to lexapro, atleast at this dosage/ Very apathetic and have gained 20lbs easily.
224	muscle and joint pain.
225	Duno but i need my brain back!
226	At first, all the usual (dry mouth, dry eyes, tight jaw, dizziness, stoned feeling, nausea) but they went away after a month.
227	Then after a few months, more serious effects that I now believe were from the Lexapro started, like all-over itching and severe middle back pain, especially at night and upon waking in AM.
228	Now I have terrible acne and infected cysts under one arm and might go off it all together to see if connected.
229	I did go off for a month and the inappropriate anger came right back so now I'm thinking of switching to another SSRI that doesn't cause back pain, cysts and itching, not to mention wanting to sleep 13 hours a night.
230	Lack of motivation, VERY TIRED all the time, memory loss-feel scatter brained.
231	I feel so tired all the time that I don't have the energy to do basic every day household tasks.
232	Then I feel guilty for being lazy.
233	I have to take a nap every day.
234	I also have difficulty remembering things and feel scatterbrained.
235	I will think of something that I need to do and less than a minute later I have forgotten what it was that I needed to do.
236	I would like to try a different antidepressant because the loss of motivation and being tired all the time is making me feel lazy, worthless, and almost as depressed as before I started taking it.
237	Initially, Lexapro seemed to agree with me except for the occasional bad nightmare, Now, after 4 years of use, I am no longer depressed, but I am exhausted all the time.
238	I spend most of my spare time in bed sleeping .
239	I'm barely participating in life.
241	Normally my waist is 10-12 inches smaller than my hips, but now it is about 5 inches smaller.
242	My side effects from Lexapro are worse than my side effects from Zyprexa, and that's saying a lot.
243	Had dry mouth for a few days, it might have aggravated a stomach problem I already had but I'm not sure.
244	Fatigue,dry mouth,constipation,memory loss,insomnia,low libido,and weight gain.
245	I struggle to wake up in the morning, after finally getting to sleep.
246	I have fluctuating hormones too.
247	I am struggling to learn new things.
248	I also have a lack of motivation.
249	I feel that I don't have passion about anything in my life.
250	It's like not having emotions at all.
251	WEIGHT Gain, complete loss of libido.
252	I was so excited to start it as I was on Effexor for years but it had negative effects on my BP.
253	And I gained 24 pounds, have no sexual desire and still have moody days.
254	Just switched to Pristiq and hope to get rid of weight and regain sexual desire.
255	I'm jittery and feel like I'm going to jump out of my skin after taking my dose.
256	A few hours later that seems to cease and I become really tired.
257	Having trouble falling asleep and staying asleep already.
258	Clenching my jaw has gotten worse since I've been on it.
259	I feel like I want to go run or jump up and down or something to get rid of this excess energy.
260	I feel really strange but am hoping I even out some after being on it for awhile.
261	I also had some really strange images while trying to go to sleep last night.
262	I wasn't asleep so I can't call it a dream/nightmare, but definitely strange nonetheless.
263	I imagine this is what it feels like to be on crack.
264	slight nausea and shakiness and feeling very anxious particularly in the morning.
265	Diarrhea, inability to orgasm, loss of sexual pleasure, significant weight gain, withdrawal was not pleasant.
266	The first 6 weeks there was a lot of running to the bathroom .
267	As time went on, my sexual sensitivity began to diminish, my weight began to skyrocket (20+ lbs) and the benefits of the drug began to be outweighed by the anxiety and depression caused by getting fat and sexual dysfunction .
268	Dialated pupils.
269	Nauseaus and racy heart, Blurred vision.
270	Night Sweats, decreased sex drive, headaches, weight gain, fatigue, jaw clenching.
271	The first year was great, other than a decreased sex drive.
272	I am waking up every night absolutely soaked in sweat (I can wring out my t-shirt and have drops of sweat coming out).
273	I haven't had a good night's sleep in a year because of the night sweats.
274	Alcohol-related blackouts, super-intense dreams, sleepy, nervous.
275	Worked really well first six months or so for my depression but after several freaky alcohol incidents where I drank 3-4 glasses of wine and then blacked out completely, I cut down my dosage from 20 to 10 mg and plan to go back on Welbutrin at my next doctor's consult.
276	I have never had more interesting dreams than those I had on Lexipro .
277	I'll miss those: very detailed, vivid, fascinating, cinematic-like dreams, Amazing, But, my friends complained that I acted completely out of character when I drank, and I don't remember anything I said or did, so I've decided this isn't right for me.
278	My blood pressure rose more than 10 points after taking the first Lexapro 10 mg. My normal BP is about 110/70, it rose to 134/88)  I cut down to 5 mg, and my blood pressure stayed at about 124/84 until about 4 days after stopping.
279	It did not do a lot for the anxiety initially, but I only took 3)  The blood pressure issue, however, was enough to make my psychiatrist encourage me to stop.
280	less libido, tired always, sleep a lot, 15 mg, doesnt do much, little more relaxed about problems, maybee I go up to 17,5 mg or 20 mg and I will give it a try the next 2 months.
281	poor short-term memory, increased alcohol craving, increased reaction to alcohol/blackouts, vivid dreams, sleep disturbances (talking in sleep), weight gain (15+ lbs) and decreased sex drive.
282	Side effects were apparent almost immediately (except weight gain which happened gradually, but drastically accumulated-never been this heavy before in my life).
283	Severe cotton mouth, mood was exceptionally elevated (too elevated) until it tapered off, Disturbing, lucid dream for about 6 weeks.
284	I wasn't depressed, or sad, or happy, or angry.
285	"nervousness/shakiness, occasional ""electrical zaps"" that so many people report with SSRI's, diahrrea and constipation, the urge to drink more alcohol."
286	I've been noticing that the times i was on an ssri, i drank a lot more alcohol than when not on one.
287	The first two or three days, I felt dizzy and tired.
288	"first day or two- felt ""out of it"", extreme fatigue, Currently (3 wks), I am having bruising, hair loss, fatigue, can't sleep through the night, increased anxiety when I wake, jaw clenching, and difficulty having orgasm."
289	Slight nausea and somnolence, 2ND Time .
290	Nausea; vomiting; suicidal thoughts; slight schizophrenia; tremors; increased anxiety; agitation resulting in violent thoughts; psychosis.
291	This medication orginally did wonders for my wellbeing and anxiety, However, I needed to come off it as it often impaired my memory .
292	I sat with my head over the toilet vomiting whilst slurring random words and throwing toiletries at the people who surounded me.
293	THIS STUFF MADE ME SOOOOOOO TIRED AND I CANT EVEN GET AN ORGASM!
294	In the beginning I felt rather numb not happier.
295	Side effects included: First month or so: going back and forth from being quite and calm to being extremaly anxious without a reason especially about two hours after taking the doze, Very vivid, weird dreams, occasional nightmares every night for about 2 months.
296	Dialated pupils after a few weeks of taking, to the point of blurred vision.
297	Incredible sweet tooth .
298	couldn't stop myself from eating sweets.
299	This has subsided after a month or so, Constipation .
300	The worst side effect that I still expirience are: Libido is nonexistan.
301	Initially, a loss of appetite, weight loss in first 5 days, spaced out feeling.
302	After about the first 2 weeks, my moods leveled out, I felt mentally numb.
303	No matter what happened, I didnt seem to react.
304	I liked the feeling I had while taking it, but what made me quit was the sexual side effects and a 15 pound weight gain in 3 months.
305	I had an increase in Libido along with an inability to orgasm, Extremely Frustrating.
306	I am currently at 2,5)  I tried going up to 3.  and after 3 days felt like I couldn't stop moving, but was hard to focus so I did things like wash my kitchen floor etc.
307	Weight gain, fuzzy head.
308	Gained 20lbs in 4 months.
309	Took it in the evening and experienced nausea and drowsiness.
310	The following day had increased anxiety and restlessness.
311	When the side effects subsided I upped dose to 5mg., then 7,5mg.
312	Tried to up dose to the recommended 10 mg. but side effects did not seem to lessen with time.
313	The Lexapro alone actually seemed to increase my desire to just do nothing and want to be left alone.
314	Woke up in the middle of the night and couldn't fall back asleep.
315	Called in sick to work because I was feeling dizzy and nauseous, sweaty hands, decreased appetite, numbness in the back of my head, sore neck, keep feeling like I need to stretch, feeling disconnected, at the same time got a body buzz and an overall calm feeling.
316	Felt tired and slow all day.
317	For the entire time I've been taking Lexapro, I've had no sex drive, erectile dysfunction, and only three orgasms during intercourse.
318	I've only had a slight reduction in my ability to concentrate.
319	I feel like I've been chemically neutered.
320	"fuzzy ""high"" feeling, sleepy, can't stop yawning."
321	On the down side, I feel as if I'm in a fog.
322	I can still do my work, but I want to SLEEP and I wake up groggy.
323	It's not exactly a pleasant feeling and I hope that it'll pass, as I am not interested in remaining a semi-zombie-there are lots of things I want and need to do in my life.
324	I am taking 5 mg. Can orgasm easily so far (I've been checking), If anything, my appetite's diminished, But it's only been 6 days, and I expect things will change.
325	Irritability, extreme hosility if I went up on higher doses.
326	Lack of motivation.
327	Slowing of cognitive thoughts, constipation(mild).
328	Good drug in terms of lack of side effects, specially when compared to other antidepressants, After awhile, the drug just made me numb, I couldnt really feel anything, and there was a desire in me to look for stimulation elsewhere.
329	I bought this root stimulating shampoo, and a follicle stimulator cause my head felt numb, wouldn't take showers cuz i would feel numb afterwards.
330	If not for the numbness this would be a great drug.
331	sweating, not able to stay asleep through the night, dry skin and hair, constant licking my lips ( pill rolling) as its called, tingling body experience, ring in ears, headaches.
332	First week; high, Second week; good mood, headaches, chest pains; third week; break through depression and fatigue, fourth week; still very tired, Doctor upped dose from 10 to 20mg and now I'm dreadfully zombie like.
333	My brain is at a standstill.
334	Kind of a relief from racing thoughts, but scary because I might as well be in a coma.
335	I like not feeling depressed, but I feel like I am being made to feel happy against my will.
337	Jaw Clenching, Headache-seems to be fading, Worse Brain Fog than fibromyalgia alone, More Extreme Fatigue, loss of appetite control, seems no help with fibro pain, dry mouth, heart palpitations, urine retention?, edema.
338	A little concerned that loss of control with appetite will cause weight gain that will depress me, Also, brain fog may be clearing a bit.
339	I experience frequent headaches as well as insomnia-which has led to a mild addiction to sleeping aids.
340	Vivid dreams and nightmares.
341	Total loss of libido, Fogginess/Forgetfullness, Teeth clenching.
342	Anxiousness and anger.
343	I've also gained about 60 pounds because I became more depressed and freaked out, leading me to just give up on a healthy lifestyle as well as failing an entire semester at my university.
344	light headed and increased anxiety the first few days, then subsided.
345	the following side effects continue, sometimes more markedly than at other times: night sweats, excessive yawning, decreased sex drive, weight gain, vivid dreams, insomnia.
346	a day and a half of nausea .
347	Dizziness, Dry mouth, Yawning.
348	All left after a couple of weeks, Erectile disfunction.
349	Inability to orgasm.
350	Lack of sexual desire.
352	However the inability to orgasm has been addressed by use of a prostate massager which works well despite being embarrassing.
353	I'm slowly beginning to have erections again so I expect that eventually the orgasm inability will resolve itself.
355	This dosage made me very sleepy about 5 hours after taking it.
356	I would yawn constantly and uncontrollably.
357	The sleepiness disappeared, However, I have problems ejaculating.
358	And while I am now very slow to anger, I am slow very slow to excite.
359	My emotions feel muted, and my former compulsiveness is replaced with listlessness.
360	I am not depressed, but I feel that life is without excitement.
361	"weight gain, spaced-out/zombie-like/""dream""-like feeling, sweating, increased appetite, sleep too deep."
362	The reason is weight gain.
363	I've gained 10 lb of pure fat in the past year, Literally FAT.
364	I exercise, I eat healthy, Although, 4 months ago I quit smoking/drinking alcohol, after that I'm craving food all the time, mostly sweets.
365	Sweating for the first 7-8 months was AWFUL.
366	I felt on fire.
367	I'd sweat so much, I had to change my clothes a few times a day.
368	Sometimes I feel zombie-like, like life is out of focus.
369	I have vivid dreams, but I always had them & I enjoy them.
370	The draw back is sometimes my life is so dream-like, while my dreams are so life-like, that I constantly confuse what I dreamed & what I lived.
371	Sometimes I sleep so deep, that I can't even wake up to use the bathroom.
372	I'm so drowsy, I walk as if had 5 bottles of vodka.
373	Gain weigth & low sexual drive.
374	I ahve taken this medication for many years and I have gain weith (about 10 LBS) and the worst part is that despite that I work out 5 times per week I havenot being able to loose weight, Also, my sexual drive is very low, problem with erection.
375	Difficulty climaxing!
376	Weight gain, decreased enthusiam/energy to do things.
377	Hard to be motivated, Increased appetite.
378	Now I am trying to get off of the meds (pretty rough) to alleviate the negative side effects and return to a more natural state.
379	1)  Strong headaches for the first 1-2 months, 2)  Interest in sex has decreased significantly (50-75%).
380	Dry mouth, some sleepiness and excessive yawning.
381	Any side effects were , for me, tolerable compared to the benefits.
382	At first: Headache, nausea, trembling belly, loss of appetite, nervousness (All went away in a few weeks.).
383	I am, however, TIRED!
384	Vivid dreams but not nightmares.
385	Libido is low but orgasm is possible.
386	Low sex drive and trouble ejaculating.
387	Increased craving for alcohol.
388	"Overall feelling of ""numb brain"" as I call it, Trouble concentrating."
389	Poor short term memory, Low motivation.
390	But after 10 years of taking it, I feel like my brain has become dull and numb.
391	It has become difficult to concentrate on anything or to get motivated to do anything.
393	I seem to be tired and unmotivated to do anything anymore.
394	weight gain, fatigue, unable to orgasm during intercourse, insomnia, lack of sympathy, apathy, losing hair.
395	I cannot orgasm during intercourse and I've tried everything.
396	If I take the medicine at night I won't go to sleep.
397	If I take it mid-morning I want to sleep in the afternoon so I take it first thing in morning.
398	I have been losing hair.
399	I have gained weight.
400	possibly a bit of lower back pain.
401	incredible drowsiness .
402	napping many times a day for extended periods, night sweating.
403	Lexapro has been great as far as balancing out my mood, and making me feel much less anxious and happy overall, However, the drowsiness is becoming a pretty big problem, especially when I am sleeping an average of 12 hours a day (mostly in 4-5 hour naps).
404	Night sweating happens about twice a week, and is a pretty small side effect.
405	low sex drive, weight gain, headache, irritable bowel, fatigue, spaciness.
406	love my husband but just do not feel like having sex very often, I can go sexless for months!
407	helps me in my job which is high energy and high stress, headaches can be debilitating and twice I had to be picked up from work because the headaches came on so strong I couldn't drive myself home
408	Hair loss!, rashes, sexual loss.
409	I was very suicidal when put on Lexapro and it helped me relax a great deal, I was so much more happy on it but had to stop taking it due to it causing hair loss and it killed my sex drive and feeling.
410	I did act like a jerk on it as well a few times.
411	Although if it wasn't for the hair loss and sexual side effects I would of stayed on it.
412	Nausea on the first day, nightmares, racing heart, unable to have orgasm.
413	Even with all the side effects I really think Lexapro is the right choice for me.
414	Severe night sweats.
