id	Text
122	Been off of it for eight months, now bigger, have high BP and pre-diabetes because of the weight gain.
123	Before I got any fatter, I stopped taking it and my metabolism is MESSED UP.
124	I eat so much less than I used to, and still can't seem to lose the weight I gained while on Lexapro.
125	I'd rather be normal sized and anxious than overweight, taking BP meds and insulin medication!
126	Lack of care for anything important in my life.
127	Lack of feeling for anything, just lived day by day.
128	Inability to Ejaculate during sex.
129	Compared to previous medication I was taking, Lexapro did in fact take away my physical pain I was suffering, but has caused so much more in emotional pain.
130	"Nausea (for about 1 week), headaches, brain ""zaps"" occasionally, extreme sleepiness, vivid dreams, loss of sex drive."
131	Went to 20mg after some really tough life circumstances, Side-effects were unmanageable!
132	Possible loss of libido.
133	At that dosage I was so tired and irritable.
134	I do not think Lexapro gave me any seriously adverse side effects.
135	"nausea, dizziness, spaciness, lack of coordination, massive headache in morning that lasts all day, feeling generally ""hungover"", lack of energy/motivation, dry mouth, jaw clenching, Dr. prescribed this to ""give me a better outlook, engergy, and be able to face the day"" because of depression related to death of parents/divorce/job cut/ and resulting overwhelming responsibilities related to those factors."
136	Took Fri afternoon, nauseous and dizzy immediately, spaced out, went to bed for 2 hrs, got up, couldn't even make dinner, stumbling/spacey.
137	Next day worthless and in a fog, bad headache.
138	Woke up with massive headache, felt like hit by truck, hungover-like.
139	Got nothing done all day.
140	Called in sick.
141	Headache still and completely useless, Coffee & tylenol so far- not helping much.
142	Still in fog as I type this.
143	I have been losing handfuls of hair every time I brush, wash or run my fingers through it.
144	I've become more depressed about this and cry every day.
145	I am also so fatigued that I am sleeping several times during the day, as well as 8-9 hours at night.
146	Wow this stuff is strong, i took the first 10mg today, and can't focus, i'm totally apathetic.
147	i hate feeling out of control, detached.
148	I would rather be depressed than totally anihilated !
149	No sex drive, dull mood.
150	Generally felt pretty dull and had no sex drive whatsoever.
151	I drank a lot while on this drug and it made me act kinda crazy.
152	I know your not suppose to drink when on these meds, but I honestly feel the dull boring mood this drug created for me drove me to.
153	weight gain, 
154	Dry mouth in the beginning, decreased sex drive, Didn't do a thing for me, even at the highest dose.
155	Stomach is in knots, tension in the front part of my head, shakiness, blurred vision.
156	I took 10mg for the first time last night before bed and I could barely sleep.
157	I don't even know if I did sleep!
158	My back hurt so bad in the middle of the night I had to take an Ibuprofen, Now I'm at work and I'm shaking so bad and my stomach is so tight!
159	I can't seem to focus, my eyes are blurred and sensitive to the light.
160	"LOST MY MIND COMPLETELY, FUNCTIONING AT 28% CONSCIOUSNESS, I ALMOST JUMPED OUT OF A WINDOW, BUT I TOLD MYSELF: ""THIS IS NOT ME."
161	AND CALLED 911)  I started on 10 and I felt very depressed still, actually worse, panicky and extremely anxious, then the pdoc doubled my dose to 20!
162	"then I lost it, The hospital told my husband I was functioning at 28% consciousness, I wrote all over my body, talked to the walls, cried HARD, and screamed ""dont touch me!"""
164	Problems with memory.
165	Inability to focus/concentrate, 
166	nausea, headache.
167	i know it's only my 2nd day, but I am nauseated, and have had a headache since 30 minutes after taking the 1st pill.
168	jaw clenching at night, teeth grinding, nausea, constipation, food cravings, weight gain, total loss of sex drive, inability to O, insomnia, loss of taste.
169	I can not see that this drug has helped much and I am not willing to continue given the side effects I am experiencing.
170	I've always had somewhat of a sweet tooth, but now I crave peanut butter cups with a vengance- it is the only thing that still tastes good to me, But, I am also eating like crazy.
171	If I let myself get hungry, then I get nauseated.
172	I have gained 10 lbs in 1 month, and am terrified it will continue.
173	dry mouth, shaky, gas and bloating, upper back ache especially at night, clammy feeling, headache, nervousness.
174	sleeplessness, vivid dreams, hallucinations, tiredness, muscle aches, fluctuating blood pressure, zoned out, Don't take it.
175	Lethargic, body aches, migranes, Dr. prescribed 20mg daily.
176	I could not function.
177	My mind was in a fog.
178	I didn't care about anything.
179	The headaches were unbearable.
180	I have a problem with insomnia anyway so I haven't made a decision to start taking it in the morning yet.
181	I've taken all the other anti-depressants over many years and couldn't stand the side effects.
182	Extreme fatigue, difficulty waking up, emotional numbness/detachment, inability to concentrate, forgetfulness, lack of interest in ANYTHING except sleep, inability to reach orgasm with a partner, weakness, excessive urination, dizziness.
183	It certainly erased the anxiety, but I hardly feel human anymore.
184	Nothing moves or excites me.
185	I'm now in the last stage of withdrawal, and I'm still experiencing the fatigue and dizziness and sexual apathy.
186	Extremely hard to climax during sex, Severe Depression.
187	I would just stay around and do nothing all day.
188	However when I did go out I was too numb to the world to have any panic attacks or jitters.
189	At one point I wanted to kill myself.
190	Fatigue .
191	I was tired, and felt extra exhausted all the time.
192	After experiencing those fatigue symptoms and not being able to do, well, anything, I was moved back down to 5 mg which only helped temporarily.
193	nausea, diarrhea, sweating, head in the clouds, stoned feeling.
194	I took it before I went to bed, Days 1 & 2 were good- felt relaxed; Day 3 I was spacey, stoned; Day 4 I got severely sick: woke up at 3am sweating, diarrhea, heart racing, mind was racing (almost psychotic thoughts), had a panic attack because I was so scared, almost went to emergency room because I could not relax for 4 hours straight!
195	increased anxiety, more panic attacks, uncontrollably bursting into tears.
196	i started at 5 mgs, felt like i was on speed for the first few days.
197	2 weeks later the anxiety had increased into panic, the Dr. had me skip a day then start back at 2.5 mgs daily.
198	that was ok for about 3 days then i started having constant panic/anxiety, as well as crying a lot at innappropriate times.
199	i stopped taking the lexapro, the anxiety has lightened a little bit, but the crying hasn't.
