Annual Income,Years of Credit History,Maximum Open Credit,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Home Ownership,Years in current job,Tax Liens,Number of Open Accounts,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Credit Default
695020.0,23.0,53680.0,222527.4971721635,35416.0,13900.0,722.0,0,5,0,10,0,32,0,1,0,0.0
1399350.0,11.7,676192.0,345664.0,466013.0,34984.0,668.0,2,10,0,10,0,35,0,1,1,1.0
1640517.0,19.2,571846.0,446952.0,343729.0,26112.0,731.0,1,10,0,11,0,74,0,0,1,0.0
1225158.0,16.7,292446.0,171952.0,173014.0,18990.0,713.0,2,0,0,26,0,33,0,1,0,0.0
233453.0,12.5,337964.0,73216.0,104196.0,3404.0,747.0,2,0,0,6,0,37,0,2,0,0.0
615220.0,12.4,245080.0,172700.0,115140.0,5691.0,714.0,2,6,0,7,0,35,0,1,0,1.0
1199123.7271568468,15.7,391842.0,318098.0,231135.0,13017.0,715.3875317104598,2,10,0,8,1,42,1,0,0,1.0
2058365.0,10.5,792968.0,456258.0,609501.0,49058.0,632.0,1,0,0,24,0,32,0,0,1,1.0
2259252.0,14.5,836044.0,411248.15185147105,234669.0,34454.0,745.0,1,1,0,21,0,30,0,0,0,0.0
857660.0,19.7,291082.0,233171.12773490354,236816.0,3488.0,743.0,2,1,0,6,0,0,0,0,0,0.0
881524.0,15.5,699050.0,332882.0,320587.0,8448.0,710.0,1,0,0,3,0,35,0,0,0,0.0
773832.0,25.0,842094.0,301840.0,219640.0,17024.0,702.0,1,5,0,11,0,13,0,0,0,1.0
865492.3682260767,16.0,237468.0,88352.0,817.0,12973.0,735.2601056346818,0,1,0,6,0,2,0,0,0,0.0
504146.0,34.5,206008.0,203255.91317318316,74556.0,10461.0,692.0,1,4,0,5,0,40,0,0,0,0.0
666938.0,11.5,92642.0,88242.0,51376.0,2974.0,724.0,2,2,0,6,0,35,0,0,1,1.0
964250.0,16.8,886160.0,357280.0,644404.0,20892.0,736.0,2,6,0,12,0,36,0,0,0,0.0
1776671.0,30.7,683584.0,559020.0,466393.0,45305.0,695.0,1,9,0,15,0,31,0,0,0,1.0
1762155.0,25.6,450516.0,443564.0,288306.0,25404.0,748.0,1,10,0,7,0,32,0,0,0,0.0
837026.0,20.4,385616.0,238307.15063071644,223801.0,7477.0,744.0,2,4,0,12,0,35,0,0,0,0.0
1811479.9582929295,14.9,833382.0,438900.0,531886.0,26423.0,729.3362048982829,1,2,0,7,0,33,0,0,0,0.0
1149736.4791829507,13.6,114400.0,224422.0,85481.0,16252.0,714.4581689642398,1,9,0,7,0,9,0,12,0,0.0
1536036.0,20.7,837034.0,433796.0,606499.0,38913.0,716.0,1,10,0,12,0,7,0,0,1,0.0
787816.0,18.7,276562.0,79706.0,153330.0,18776.0,677.0,2,5,0,7,0,35,0,1,0,1.0
1241954.0,37.1,971630.0,433664.0,220685.0,3291.0,746.0,1,10,0,9,0,33,0,0,0,0.0
1043879.0,11.1,642598.0,322850.0,7771.0,2714.0,731.0,1,4,0,13,0,3,0,2,0,0.0
717908.5587915177,17.7,11110.0,59972.0,8037.0,9529.0,732.2282363264396,1,4,0,6,0,15,0,1,0,0.0
959785.0,14.8,257774.0,250052.0,93062.0,5167.0,607.0,2,2,0,11,1,74,1,1,1,1.0
1070403.0,25.5,193776.0,103664.0,124336.0,18108.0,735.0,2,6,0,25,0,32,0,0,0,1.0
2474302.2194796214,27.0,1203334.0,461208.0,881277.0,45665.0,697.9085761508717,1,5,0,9,0,32,0,0,1,1.0
1778115.0,19.5,324104.0,315458.0,240160.0,22671.0,737.0,1,10,0,6,1,40,1,0,0,0.0
2838030.0,14.2,2344958.0,328614.0,411122.0,20765.0,745.0,2,7,0,20,0,30,0,0,0,0.0
1149842.0,20.5,622182.0,172172.0,76304.0,4666.0,750.0,1,8,0,7,0,33,0,2,0,0.0
1498264.0,9.9,609180.0,325292.0,273068.0,5594.0,743.0,2,2,0,8,0,35,0,0,0,0.0
654835.0,5.7,71500.0,214534.98398651998,60211.0,10477.0,647.0,2,6,0,4,0,30,0,0,0,0.0
1548576.0,17.0,490512.0,560340.0,280877.0,11059.0,698.0,2,9,0,12,0,34,0,0,0,0.0
849357.0,15.0,642158.0,174834.0,295602.0,22366.0,740.0,2,5,0,15,0,34,0,0,0,1.0
1325231.0,27.4,457468.0,317080.02127790777,337003.0,21204.0,741.0,1,8,0,14,0,29,0,0,0,0.0
871416.0,14.0,228976.0,224224.0,10279.0,10631.0,735.0,2,3,0,12,0,12,0,4,0,1.0
1144446.0,16.8,1283260.0,397540.0,602889.0,31472.0,709.0,1,8,0,17,0,17,0,0,1,1.0
767904.0,15.4,275528.0,222288.0,168226.0,18302.0,718.0,2,1,0,9,0,73,0,0,0,0.0
1463342.0,9.8,236302.0,542322.0,102866.0,23901.0,650.0,0,10,0,7,0,32,0,0,0,0.0
1071030.0,13.0,493592.0,338228.0,215707.0,14994.0,725.0,1,4,0,16,1,46,1,0,1,0.0
2795907.0,7.8,308396.0,243914.0,173926.0,15168.0,705.0,1,2,0,9,0,23,0,0,0,1.0
1874920.0,22.1,923010.0,542740.0,607411.0,25436.0,703.0,1,6,0,8,0,33,0,0,0,0.0
1268896.0,15.8,3278000.0,268356.0,939892.0,14698.0,739.0,0,7,4,15,5,18,1,0,0,0.0
1467769.0,16.5,577632.0,348612.0,345724.0,32413.0,708.0,2,1,0,8,0,5,0,0,1,1.0
1841157.0,24.5,1876644.0,484267.5651099938,1210680.0,43114.0,737.0,1,7,0,17,0,20,0,0,0,0.0
3034224.0,16.7,307582.0,418858.0,137066.0,17295.0,692.0,2,3,0,10,4,61,4,0,1,1.0
1194131.0,25.3,541684.0,267608.0,373787.0,19504.0,732.0,1,10,0,14,0,65,0,0,0,0.0
1002820.0,6.0,721116.0,257552.20860153693,225454.0,10279.0,601.0,1,5,0,11,0,36,0,0,1,0.0
1937810.0,16.7,730884.0,448756.0,305520.0,27291.0,750.0,0,10,0,12,0,30,0,0,0,0.0
1267951.8719148086,13.8,334884.0,330858.0,121467.0,15197.0,713.0199610260479,2,7,2,9,3,62,1,0,0,1.0
910727.0,20.6,688006.0,397100.0,388588.0,13964.0,672.0,1,10,0,15,0,69,0,0,1,0.0
654436.0,10.5,101772.0,86592.0,86241.0,8655.0,706.0,2,0,0,3,0,37,0,0,0,0.0
965960.0,14.7,278190.0,258104.0,169385.0,20205.0,740.0,2,9,0,12,0,8,0,0,0,1.0
845926.0140168595,16.5,222816.0,189442.0,99294.0,7598.0,730.0855115255482,2,5,0,11,0,35,0,0,0,0.0
254410.0,7.8,95128.0,85954.0,67203.0,2905.0,646.0,0,5,0,4,0,34,0,4,0,1.0
1277275.0,19.3,221760.0,263032.54755581357,69521.0,8749.0,694.0,0,10,0,6,0,36,0,2,1,0.0
579234.0,13.6,357500.0,254298.0,198835.0,4923.0,671.0,2,5,0,5,0,37,0,0,0,1.0
1743858.0,16.0,509542.0,606320.0,216505.0,28774.0,715.0,0,10,0,15,0,7,0,1,0,0.0
757568.0,11.4,383548.0,210518.0,276583.0,11553.0,732.0,2,5,0,13,0,35,0,0,0,1.0
3714120.0,17.1,849222.0,301048.0,621946.0,78925.0,729.0,1,9,0,18,0,27,0,0,1,1.0
759240.0,27.4,435028.0,263186.0,317471.0,17209.0,658.0,2,2,0,8,0,37,0,0,1,0.0
544027.0,8.1,116842.0,78738.0,31274.0,4715.0,732.0,2,2,0,6,0,36,0,0,0,0.0
2235996.0,31.6,966768.0,755150.0,388246.0,33167.0,703.0,1,10,0,17,1,38,1,0,0,1.0
1697365.0,20.6,1228304.0,266200.0,376580.0,32250.0,747.0,1,0,0,15,1,6,1,0,0,0.0
919942.0,22.5,703516.0,263560.0,281314.0,12419.0,733.0,1,2,0,15,0,6,0,0,0,0.0
993833.0,20.8,241142.0,88528.0,38532.0,2551.0,696.0,2,2,0,11,0,35,0,0,0,1.0
1158684.4670056216,15.0,402886.0,178002.0,265506.0,17615.0,730.8608397577292,1,6,0,7,0,34,0,0,0,0.0
2001517.0,14.0,531366.0,212080.0,162925.0,16279.0,734.0,2,10,0,16,0,54,0,0,0,0.0
1010534.0,9.0,154594.0,353232.0,56867.0,12800.0,656.0,2,6,0,6,0,35,0,0,0,1.0
621870.0,31.4,869704.0,235637.6214375683,251617.0,13836.0,742.0,1,2,0,9,0,34,0,0,0,0.0
1968476.0,14.0,166804.0,293040.0,32414.0,11844.0,732.0,0,10,0,6,1,55,1,0,0,0.0
2807250.0,28.3,1078396.0,476740.0,596999.0,52402.0,653.0,1,10,0,14,1,81,0,0,1,1.0
747688.0,8.5,150546.0,227260.0,76722.0,13272.0,711.0,2,3,0,8,0,35,0,0,0,1.0
1653266.0,17.0,606408.0,326304.0,237253.0,10237.0,725.0,2,10,0,8,0,42,0,0,0,0.0
941593.6873709148,32.2,302148.0,111892.0,228855.0,13552.0,736.1315521665639,1,10,0,5,0,7,0,1,0,0.0
811490.0,21.8,679712.0,264309.3127398423,283537.0,18664.0,745.0,0,7,0,14,0,26,0,0,0,0.0
1635197.0,21.0,439186.0,356400.0,169917.0,12768.0,730.0,2,5,0,7,1,41,1,0,0,0.0
1155732.0,16.3,216304.0,178420.0,45771.0,25426.0,743.0,1,10,0,12,2,81,2,0,0,0.0
844398.0,12.6,682594.0,269211.1113931885,353704.0,16536.0,734.0,1,0,0,14,0,34,0,0,0,0.0
2113518.3035040856,15.0,1192158.0,788942.0,560101.0,20765.0,698.9241026086429,1,9,0,17,0,33,0,0,1,0.0
1125712.0,26.7,227458.0,220924.0,116698.0,11088.0,716.0,2,10,0,12,1,23,1,0,0,0.0
1167341.0,14.0,425810.0,311872.0,196745.0,32394.0,736.0,1,8,0,20,0,14,0,0,0,0.0
616018.0,10.9,336468.0,222904.0,256595.0,15555.0,715.0,2,2,0,8,0,37,0,0,0,0.0
1198344.5709023038,21.6,1293930.0,201168.0,40223.0,17908.0,732.6536614409466,2,10,0,19,0,33,0,0,0,0.0
1459770.0,40.4,1035276.0,270446.0,750139.0,15936.0,744.0,1,4,0,8,0,28,0,0,0,0.0
1184194.0,12.3,206866.0,261184.0,96292.0,12631.0,720.0,2,10,0,8,0,47,0,0,1,0.0
1481164.0,31.5,567996.0,134596.0,105963.0,2320.0,744.0,2,5,0,6,0,27,0,2,0,0.0
971263.1651617781,20.0,364452.0,258830.0,194826.0,8233.0,727.2147870355308,1,0,0,19,1,40,1,0,0,0.0
916294.0,16.4,702834.0,265232.0,404871.0,19318.0,740.0,2,4,0,13,0,40,0,0,0,0.0
3331327.0,27.0,2997148.0,551056.0,2044875.0,54134.0,650.0,1,2,0,17,0,28,0,1,1,0.0
1176727.0,20.7,281534.0,178684.0,192337.0,19514.0,739.0,2,2,0,11,0,45,0,0,0,0.0
1582871.0,18.5,472054.0,252824.0,269895.0,6200.0,657.0,2,1,0,9,0,35,0,0,1,1.0
717149.9517980847,11.2,291280.0,176572.0,142386.0,3695.0,700.5030976798319,2,5,0,3,0,37,0,1,1,0.0
640028.5653109236,22.2,580888.0,130526.0,104842.0,3005.0,730.9943557461064,0,1,1,5,2,44,1,0,0,0.0
809868.9578664115,10.2,230714.0,215094.0,84493.0,5346.0,721.5125654638271,2,2,0,7,0,24,0,0,0,1.0
1230188.3043914149,15.8,1528362.0,278190.0,229672.0,14700.0,704.8486563078021,1,10,0,14,0,34,0,0,1,0.0
1134300.0,12.5,429110.0,328350.0,311676.0,24482.0,726.0,2,5,0,13,0,35,0,0,1,1.0
1219933.0,16.7,669174.0,347710.0,320758.0,24704.0,725.0,2,7,0,18,0,7,0,0,1,1.0
1001110.1970585425,21.1,779372.0,134222.0,245005.0,14049.0,700.9249919592844,1,10,0,11,0,57,0,4,1,0.0
719682.0,12.6,234872.0,188584.0,83372.0,14754.0,705.0,2,9,0,8,0,56,0,0,0,0.0
2778750.0,13.2,592680.0,408449.43503900256,177612.0,14588.0,744.0,1,3,0,7,0,9,0,0,0,0.0
1455210.0,13.9,471614.0,334180.0,346199.0,34076.0,656.0,1,10,0,8,1,40,1,10,1,0.0
1457123.753545804,14.4,235488.0,288156.0,130169.0,23338.0,722.6280812225281,1,7,0,9,0,9,0,0,0,1.0
1569514.0,28.2,859034.0,454322.0,338295.0,28251.0,710.0,1,10,1,13,2,52,0,0,1,0.0
319067.0,7.0,784828.0,106172.0,12198.0,436.0,734.0,0,4,0,14,0,13,0,2,0,0.0
1147638.0,15.9,508354.0,332222.0,325318.0,9525.0,722.0,2,10,0,10,0,22,0,0,1,0.0
1016671.0,13.7,1004190.0,280793.6124789227,201210.0,22367.0,728.0,0,3,0,13,0,64,0,0,1,0.0
1878234.678751809,26.5,968396.0,463474.0,375516.0,28019.0,704.1144102170097,1,1,0,9,0,44,0,2,1,0.0
2327337.8437715573,14.8,617650.0,268532.0,406467.0,51487.0,726.6359901733871,2,8,0,18,0,30,0,0,0,0.0
846473.0015273716,23.0,198946.0,223454.0,90193.0,6208.0,693.3186061642608,1,10,0,6,0,33,0,10,1,0.0
1649846.0,11.8,940786.0,177716.0,184433.0,26673.0,750.0,2,3,0,13,0,33,0,0,0,0.0
523906.0,31.9,311828.0,122408.0,87799.0,9649.0,690.0,1,10,0,12,0,5,0,0,0,1.0
1279973.0,26.1,679734.0,282397.14004500885,301739.0,7776.0,747.0,1,10,0,8,0,6,0,0,0,0.0
3557940.0,16.1,310464.0,443696.0,186086.0,40323.0,741.0,1,4,0,12,0,35,0,0,0,0.0
1681786.8775337036,19.2,504724.0,438900.0,377036.0,23037.0,717.4185323674994,1,5,0,9,0,20,0,10,0,0.0
815233.0,10.4,352550.0,255090.0,128782.0,6998.0,647.0,1,4,0,7,0,35,0,0,1,1.0
2879070.0,32.5,1695232.0,555610.0,1023378.0,63100.0,733.0,0,10,0,16,0,28,0,0,0,1.0
732184.0,13.9,860178.0,328240.0,170867.0,2892.0,748.0,1,10,0,10,0,34,0,0,0,0.0
1488232.0,15.1,861498.0,320841.7625816434,286444.0,18975.0,726.0,1,0,0,11,0,6,0,0,1,0.0
1256736.0,33.4,664994.0,308186.22703134303,289446.0,21888.0,728.0,0,8,0,10,0,25,0,0,0,0.0
1857934.0,13.8,537064.0,384323.99389458675,309377.0,33907.0,685.0,1,6,1,16,2,39,0,0,1,0.0
2222190.223313662,19.1,1572648.0,611446.0,722551.0,31080.0,694.6269619985324,1,10,0,14,0,32,0,0,1,1.0
2696708.0,22.6,722876.0,535282.0,387695.0,49664.0,703.0,2,4,0,24,0,1,0,0,1,0.0
4757885.0,33.5,764654.0,161898.0,244340.0,13044.0,744.0,2,0,0,3,0,68,0,9,0,0.0
2474940.0,31.9,718498.0,110220.0,510701.0,28668.0,725.0,2,4,0,11,0,3,0,0,0,0.0
1120050.0,19.7,382096.0,259380.0,119453.0,9315.0,739.0,1,8,0,7,1,41,1,0,0,0.0
890701.0,20.5,0.0,67276.0,0.0,3489.0,720.0,2,2,0,7,0,7,0,1,0,1.0
728826.3318956775,10.6,217096.0,171996.0,135736.0,4365.0,728.7831218730089,2,2,0,7,0,36,0,0,0,0.0
1264146.0,11.0,301620.0,112596.0,188860.0,22333.0,745.0,1,0,0,8,0,33,0,0,0,1.0
1902090.0,21.4,1132890.0,660726.0,630078.0,14377.0,744.0,1,4,0,16,0,15,0,2,0,0.0
1970300.0,35.8,3023856.0,620180.0,1094229.0,29883.0,738.0,2,10,0,29,0,33,0,0,1,1.0
1382326.0,20.5,1479060.0,295251.0147435367,169898.0,16357.0,750.0,1,5,0,13,0,32,0,0,0,0.0
1156758.0,25.8,1349414.0,588786.0,553565.0,22364.0,672.0,1,5,0,14,0,34,0,0,1,1.0
1286965.0,19.9,758604.0,499642.0,550981.0,14800.0,733.0,1,1,0,9,0,34,0,0,0,1.0
2823495.0,36.6,834856.0,174372.0,40375.0,21882.0,751.0,0,2,0,6,0,27,0,2,0,0.0
834670.0,16.4,54912.0,289938.0,48469.0,12729.0,683.0,2,2,0,21,0,19,0,0,1,1.0
1549336.0,11.3,915794.0,451858.0,393091.0,30599.0,716.0,1,5,0,20,0,38,0,0,0,0.0
1219553.551415702,26.6,938278.0,153252.0,100472.0,20800.0,724.4283510427068,0,10,0,14,0,26,0,10,0,0.0
796345.171834547,32.0,293986.0,216260.0,158935.0,4506.0,736.7534896569341,1,10,0,10,0,8,0,0,0,0.0
1627388.0,15.9,422290.0,259908.0,355585.0,23461.0,683.0,1,8,0,8,0,34,0,0,1,0.0
1338322.0,17.9,346434.0,106546.0,68514.0,25093.0,701.0,1,10,0,15,1,2,1,2,0,0.0
916560.0,9.5,564168.0,265320.0,183198.0,13137.0,744.0,2,3,0,8,0,35,0,0,0,0.0
1147448.0,24.6,1068430.0,270226.0,370937.0,22949.0,745.0,0,8,0,16,0,31,0,0,0,0.0
1110454.755705543,15.7,369930.0,67166.0,124602.0,21388.0,725.2658388626533,2,8,0,7,1,38,0,0,0,0.0
1034037.0,32.0,339658.0,97966.0,148428.0,19819.0,729.0,1,10,0,6,1,41,1,0,0,0.0
990565.0,30.3,17644.0,99264.0,6688.0,289.0,719.0,2,10,0,5,1,40,1,11,0,1.0
1010040.0,10.2,271986.0,263303.6576737756,169347.0,15150.0,726.0,1,0,0,11,0,19,0,0,1,0.0
1115946.0,14.1,298364.0,220880.0,182438.0,13391.0,655.0,2,5,0,10,0,47,0,0,1,0.0
1478435.242819056,16.0,1243968.0,235202.0,570475.0,23744.0,730.0584637472987,1,10,0,24,0,32,0,0,0,0.0
415207.0,10.9,178222.0,32274.0,22629.0,3844.0,749.0,2,0,0,8,0,36,0,0,0,0.0
1067665.291625055,23.2,465102.0,258346.0,308883.0,10908.0,733.0765888169307,1,10,0,6,0,20,0,0,0,0.0
988589.0,22.7,587532.0,220132.0,184699.0,13428.0,733.0,0,8,0,9,1,18,0,0,0,0.0
1044164.0,20.5,503206.0,197846.0,142975.0,19143.0,722.0,2,0,0,16,1,56,0,0,0,0.0
651149.0,16.5,302786.0,57310.0,129181.0,11178.0,738.0,1,10,0,10,0,34,0,0,0,0.0
825379.0,13.6,39072.0,108614.0,14269.0,8460.0,722.0,2,3,0,3,0,14,0,0,0,0.0
1268125.1735844696,11.0,306240.0,360140.0,233548.0,13539.0,719.845139868646,2,2,0,10,0,34,0,0,0,1.0
1424799.2046164656,16.5,714516.0,162910.0,276450.0,26702.0,730.8095679972,2,1,0,21,0,1,0,0,0,0.0
469984.0,24.0,470712.0,143066.0,146357.0,6071.0,746.0,2,1,0,12,0,36,0,0,0,0.0
761961.9816481352,15.0,187000.0,184250.0,127737.0,4984.0,728.9352027587967,2,10,0,8,0,36,0,0,0,0.0
1003998.0,10.4,250250.0,223564.0,163609.0,19327.0,739.0,1,6,0,13,0,33,0,0,0,0.0
266000.0,21.4,176682.0,167103.2576310433,46075.0,3658.0,672.0,2,6,0,10,3,80,1,1,0,0.0
1995000.0,21.0,816618.0,528000.0,29621.0,9559.0,750.0,2,3,0,16,0,49,0,4,0,1.0
1355935.0,13.8,349404.0,277897.17862489546,100187.0,11525.0,743.0,1,10,0,6,0,53,0,0,0,0.0
862106.0,14.0,474694.0,26048.0,55347.0,3096.0,743.0,1,7,0,3,0,0,0,0,0,0.0
1674489.0,14.5,365728.0,337519.7719263395,224580.0,22187.0,734.0,0,1,0,10,0,65,0,0,0,0.0
1052220.0,13.0,365310.0,221518.0,167846.0,13153.0,745.0,2,8,0,9,0,48,0,0,0,0.0
1406836.0,22.6,2383260.0,305115.030729935,461054.0,7386.0,747.0,2,1,0,12,0,34,0,0,0,0.0
1468738.0,15.4,267652.0,219252.0,152551.0,18115.0,708.0,1,8,0,17,1,22,1,0,0,0.0
597075.0,4.8,943360.0,144958.0,97774.0,3060.0,737.0,2,2,0,12,0,36,0,0,0,0.0
910803.0,11.8,626582.0,478390.0,418836.0,11537.0,734.0,1,2,0,9,0,34,0,0,0,1.0
1707428.1380201546,14.6,582450.0,455994.0,282188.0,23419.0,726.7136638546147,2,7,0,12,0,37,0,0,0,0.0
1120848.0,10.7,305206.0,258744.73309133097,158156.0,8967.0,693.0,2,10,0,10,0,34,0,6,0,0.0
1813493.0,14.0,501556.0,265232.0,114779.0,23877.0,713.0,2,7,0,19,0,6,0,0,0,0.0
793250.0,19.3,277838.0,366850.0,203718.0,17121.0,686.0,0,10,0,9,0,34,0,0,1,0.0
1918810.0,16.7,727100.0,348524.0,292619.0,17269.0,731.0,2,7,0,15,0,23,0,1,0,1.0
2523200.0,24.0,316052.0,64922.0,200621.0,31119.0,734.0,2,4,0,13,0,31,0,0,0,0.0
1155390.0,30.7,191818.0,22308.0,78356.0,18968.0,740.0,2,10,1,25,2,38,0,0,0,0.0
1292988.0,17.8,290246.0,357522.0,141626.0,12607.0,735.0,2,10,1,9,1,58,0,0,0,0.0
1818300.0,17.0,331958.0,759682.0,266057.0,33336.0,699.0,1,10,0,9,0,9,0,0,0,0.0
815556.0,21.0,287452.0,131164.0,9937.0,15631.0,737.0,2,2,0,4,0,30,0,1,0,0.0
2174911.0,15.0,2644444.0,780010.0,1358880.0,34617.0,695.0,1,3,0,14,0,35,0,0,1,0.0
960184.0,43.3,301026.0,87912.0,86051.0,3433.0,750.0,2,10,0,9,0,42,0,0,0,1.0
4454664.0,17.3,251548.0,644754.0,75601.0,16037.0,729.0,1,10,0,13,1,33,1,2,0,0.0
1947500.0,29.4,451066.0,350416.0,188537.0,11263.0,743.0,1,4,0,9,0,29,0,0,0,0.0
575301.0,17.8,195316.0,153758.0,60382.0,14670.0,651.0,2,5,0,10,0,36,0,0,0,1.0
