126
rna-ECs_R0082	3249714	3249789	3249669	1	1	60	60
rna-ECs_R0083	3249836	3249911	3249789	1	1	61	61
rna-ECs_R0084	3249916	3249991	3249911	1	1	62	62
rna-ECs_R0004	3446403	3446513	3249991	2	1	63	63
rna-ECs_R0005	3446611	3449510	3446513	2	1	64	64
rna-ECs_R0085	3449706	3449781	3449510	2	1	65	65
rna-ECs_R0006	3449868	3451405	3449781	2	1	66	66
rna-ECs_R0023	3475734	3476096	3451405	1	1	67	67
rna-ECs_R0086	3508073	3508148	3476096	2	1	68	68
rna-ECs_R0087	3542068	3542144	3508148	2	1	69	69
rna-ECs_R0088	3542247	3542323	3542144	2	1	70	70
rna-ECs_R0089	3542386	3542462	3542323	2	1	71	71
rna-ECs_R0090	3542527	3542603	3542462	2	1	72	72
rna-ECs_R0091	3542607	3542699	3542603	2	1	73	73
rna-ECs_R0092	3669913	3669989	3542699	1	1	74	74
rna-ECs_R0093	3670023	3670099	3669989	1	1	75	75
rna-ECs_R0094	3670133	3670209	3670099	1	1	76	76
rna-ECs_R0095	3737440	3737513	3670209	2	1	77	77
rna-ECs_R0096	3852086	3852161	3737513	1	1	78	78
rna-ECs_R0097	3955256	3955331	3852161	1	1	79	79
rna-ECs_R0098	4060838	4060914	3955331	2	1	80	80
rna-ECs_R0099	4064697	4064783	4060914	2	1	81	81
rna-ECs_R0007	4158560	4158670	4064783	2	1	82	82
rna-ECs_R0100	4158712	4158787	4158670	2	1	83	83
rna-ECs_R0008	4158805	4158915	4158787	2	1	84	84
rna-ECs_R0009	4159013	4161912	4158915	2	1	85	85
rna-ECs_R0101	4162098	4162173	4161912	2	1	86	86
rna-ECs_R0102	4162216	4162292	4162173	2	1	87	87
rna-ECs_R0010	4162362	4163899	4162292	2	1	88	88
rna-ECs_R0103	4450563	4450639	4163899	2	1	89	89
rna-ECs_R0104	4580893	4580987	4450639	1	1	90	90
rna-ECs_R0011	4735379	4736916	4580987	1	1	91	91
rna-ECs_R0105	4737003	4737078	4736916	1	1	92	92
rna-ECs_R0012	4737274	4740175	4737078	1	1	93	93
rna-ECs_R0013	4740273	4740383	4740175	1	1	94	94
rna-ECs_R0106	4740441	4740517	4740383	1	1	95	95
rna-ECs_R0107	4740526	4740601	4740517	1	1	96	96
rna-ECs_R0108	4775906	4775982	4740601	1	1	97	97
rna-ECs_R0109	4776041	4776116	4775982	1	1	98	98
rna-ECs_R0110	4776137	4776223	4776116	1	1	99	99
rna-ECs_R0111	4776266	4776340	4776223	1	1	100	100
rna-ECs_R0112	4776363	4776449	4776340	1	1	101	101
rna-ECs_R0113	4776492	4776568	4776449	1	1	102	102
rna-ECs_R0014	4831783	4833320	4776568	1	1	103	103
rna-ECs_R0114	4833390	4833466	4833320	1	1	104	104
rna-ECs_R0115	4833509	4833584	4833466	1	1	105	105
rna-ECs_R0015	4833770	4836671	4833584	1	1	106	106
rna-ECs_R0016	4836769	4836879	4836671	1	1	107	107
rna-ECs_R0017	4976056	4977593	4836879	1	1	108	108
rna-ECs_R0116	4977680	4977755	4977593	1	1	109	109
rna-ECs_R0018	4977951	4980852	4977755	1	1	110	110
rna-ECs_R0019	4980950	4981060	4980852	1	1	111	111
rna-ECs_R0117	4984531	4984606	4981060	1	1	112	112
rna-ECs_R0118	4984615	4984699	4984606	1	1	113	113
rna-ECs_R0119	4984816	4984890	4984699	1	1	114	114
rna-ECs_R0120	4984897	4984972	4984890	1	1	115	115
rna-ECs_R0020	5017082	5018619	4984972	1	1	116	116
rna-ECs_R0121	5018706	5018781	5018619	1	1	117	117
rna-ECs_R0021	5018977	5021878	5018781	1	1	118	118
rna-ECs_R0022	5021976	5022086	5021878	1	1	119	119
rna-ECs_R0122	5217128	5217203	5022086	2	1	120	120
rna-ECs_R0123	5246211	5246286	5217203	1	1	121	121
rna-ECs_R0124	5246323	5246398	5246286	1	1	122	122
rna-ECs_R0125	5246434	5246509	5246398	1	1	123	123
rna-ECs_R0126	5347125	5347209	5246509	1	1	124	124
rna-ECs_R0127	5464565	5464651	5347209	2	1	125	125
